Comment,Designator,Footprint,LCSC
"47µF","C2","Capacitor_SMD:C_1206_3216Metric","C96123"
"100nF","C1,C3,C4","Capacitor_SMD:C_0805_2012Metric","C24497"
"LED Red","D1","LED_SMD:LED_0805_2012Metric","C84256"
"LED grün","D2","LED_SMD:LED_0805_2012Metric","C2297"
"Conn_02x20_Odd_Even","J1","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical",""
"Conn_02x06_GPIO","J10","Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Vertical",""
"Conn_01x04_I2C","J2","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"Conn_01x06_Male","J3","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical",""
"USB_B_Micro","J4","user:USB_Micro-B_JLCPCB_40942","C40942"
"RUN/~PGM~","J5","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"Conn_01x03_Male","J6","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"Conn_SW1","J7","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"Conn_01x02_Bat","J8","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"Conn_01x06_SPI","J9","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical",""
"AO3401A","Q1","Package_TO_SOT_SMD:SOT-23","C15127"
"100","R1","Resistor_SMD:R_0805_2012Metric","C17408"
"12k","R2","Resistor_SMD:R_0805_2012Metric","C17444"
"6.2k","R3","Resistor_SMD:R_0805_2012Metric","C17767"
"10k","R5,R9","Resistor_SMD:R_0805_2012Metric","C17414"
"1k","R4,R6,R7,R8","Resistor_SMD:R_0805_2012Metric","C17513"
"SW_Push","SW1","user:SW_PUSH_SLIM_1x4",""
"TSOP4838","U1","OptoDevice:Vishay_MOLD-3Pin",""
"PIC12F1840","U2","Package_SO:SO-8_3.9x4.9mm_P1.27mm",""
"DS3231M","U3","Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm",""